iter	Passed	Remaining
1191	3957	1354
1192	3961	1351
1193	3964	1348
1194	3968	1344
1195	3971	1341
1196	3975	1338
1197	3978	1335
1198	3981	1331
1199	3985	1328
1200	3988	1325
1201	3992	1321
1202	3995	1318
1203	3998	1315
1204	4002	1311
1205	4005	1308
1206	4008	1305
1207	4012	1301
1208	4015	1298
1209	4018	1295
1210	4022	1292
1211	4025	1288
1212	4028	1285
1213	4032	1282
1214	4035	1278
1215	4039	1275
1216	4042	1272
1217	4046	1269
1218	4049	1265
1219	4053	1262
1220	4056	1259
1221	4060	1255
1222	4063	1252
1223	4066	1249
1224	4070	1245
1225	4073	1242
1226	4077	1239
1227	4080	1236
1228	4084	1232
1229	4087	1229
1230	4091	1226
1231	4094	1223
1232	4097	1219
1233	4101	1216
1234	4104	1213
1235	4108	1209
1236	4111	1206
1237	4115	1203
1238	4118	1200
1239	4122	1196
1240	4125	1193
1241	4129	1190
1242	4132	1186
1243	4136	1183
1244	4139	1180
1245	4143	1177
1246	4146	1173
1247	4149	1170
1248	4153	1167
1249	4156	1163
1250	4160	1160
1251	4163	1157
1252	4166	1153
1253	4169	1150
1254	4172	1147
1255	4176	1143
1256	4179	1140
1257	4182	1137
1258	4186	1133
1259	4189	1130
1260	4192	1127
1261	4195	1123
1262	4199	1120
1263	4202	1117
1264	4205	1113
1265	4209	1110
1266	4212	1107
1267	4215	1103
1268	4219	1100
1269	4222	1097
1270	4225	1093
1271	4229	1090
1272	4232	1087
1273	4235	1083
1274	4238	1080
1275	4242	1077
1276	4245	1073
1277	4248	1070
1278	4252	1067
1279	4255	1063
1280	4258	1060
1281	4262	1057
1282	4265	1053
1283	4268	1050
1284	4272	1047
1285	4275	1043
1286	4278	1040
1287	4282	1037
1288	4285	1033
1289	4288	1030
1290	4291	1027
1291	4295	1023
1292	4298	1020
1293	4301	1017
1294	4305	1013
1295	4308	1010
1296	4311	1007
1297	4314	1003
1298	4318	1000
1299	4321	997
1300	4325	993
1301	4328	990
1302	4331	987
1303	4334	983
1304	4337	980
1305	4341	977
1306	4344	973
1307	4347	970
1308	4351	967
1309	4354	963
1310	4357	960
1311	4361	957
1312	4364	954
1313	4368	950
1314	4371	947
1315	4374	944
1316	4377	940
1317	4381	937
1318	4384	934
1319	4388	930
1320	4391	927
1321	4394	924
1322	4398	920
1323	4401	917
1324	4405	914
1325	4408	910
1326	4412	907
1327	4415	904
1328	4418	901
1329	4422	897
1330	4425	894
1331	4429	891
1332	4432	887
1333	4436	884
1334	4439	881
1335	4443	878
1336	4446	874
1337	4449	871
1338	4453	868
1339	4456	864
1340	4459	861
1341	4463	858
1342	4466	854
1343	4470	851
1344	4473	848
1345	4476	844
1346	4480	841
1347	4483	838
1348	4486	834
1349	4490	831
1350	4493	828
1351	4496	824
1352	4500	821
1353	4503	818
1354	4507	814
1355	4510	811
1356	4514	808
1357	4517	805
1358	4520	801
1359	4524	798
1360	4527	795
1361	4530	791
1362	4534	788
1363	4537	785
1364	4540	781
1365	4543	778
1366	4547	775
1367	4550	771
1368	4554	768
1369	4557	765
1370	4560	761
1371	4563	758
1372	4567	755
1373	4570	751
1374	4573	748
1375	4576	745
1376	4580	741
1377	4583	738
1378	4586	735
1379	4590	731
1380	4593	728
1381	4596	725
1382	4600	721
1383	4603	718
1384	4606	715
1385	4609	711
1386	4613	708
1387	4616	705
1388	4619	701
1389	4623	698
1390	4626	695
1391	4629	691
